(0.391747,0.678525,0.125000);(0.000000,0.750000,0.000000);(0.375000,0.649519,0.000000)
(0.000000,0.750000,0.000000);(0.391747,0.678525,-0.125000);(0.375000,0.649519,0.000000)
(0.391747,0.678525,-0.125000);(0.000000,0.875000,-0.216506);(0.437500,0.757772,-0.216506)
(0.437500,0.757772,-0.216506);(0.000000,1.000000,-0.250000);(0.500000,0.866025,-0.250000)
(0.500000,0.866025,-0.250000);(0.000000,1.125000,-0.216506);(0.562500,0.974279,-0.216506)
(0.562500,0.974279,-0.216506);(0.000000,1.216506,-0.125000);(0.608253,1.053525,-0.125000)
(0.000000,1.216506,-0.125000);(0.625000,1.082532,0.000000);(0.608253,1.053525,-0.125000)
(0.000000,1.250000,0.000000);(-0.608253,1.053526,0.125000);(0.000000,1.216506,0.125000)
(-0.608253,1.053526,0.125000);(0.000000,1.125000,0.216506);(0.000000,1.216506,0.125000)
(-0.562500,0.974279,0.216506);(0.000000,1.000000,0.250000);(0.000000,1.125000,0.216506)
(-0.500000,0.866026,0.250000);(0.000000,0.875000,0.216506);(0.000000,1.000000,0.250000)
(0.000000,0.875000,0.216506);(-0.391747,0.678525,0.125000);(0.000000,0.783494,0.125000)
(0.000000,0.783494,0.125000);(-0.375000,0.649519,0.000000);(0.000000,0.750000,0.000000)
(-0.375000,0.649519,0.000000);(0.000000,0.783494,-0.125000);(0.000000,0.750000,0.000000)
(-0.391747,0.678525,-0.125000);(0.000000,0.875000,-0.216506);(0.000000,0.783494,-0.125000)
(-0.437500,0.757772,-0.216506);(0.000000,1.000000,-0.250000);(0.000000,0.875000,-0.216506)
(0.000000,1.000000,-0.250000);(-0.562500,0.974279,-0.216506);(0.000000,1.125000,-0.216506)
(0.000000,1.125000,-0.216506);(-0.608253,1.053526,-0.125000);(0.000000,1.216506,-0.125000)
(-0.608253,1.053526,-0.125000);(0.000000,1.250000,0.000000);(0.000000,1.216506,-0.125000)
(-0.625000,1.082532,0.000000);(-1.053525,0.608253,0.125000);(-0.608253,1.053526,0.125000)
(-1.053525,0.608253,0.125000);(-0.562500,0.974279,0.216506);(-0.608253,1.053526,0.125000)
(-0.562500,0.974279,0.216506);(-0.866025,0.500000,0.250000);(-0.500000,0.866026,0.250000)
(-0.866025,0.500000,0.250000);(-0.437500,0.757772,0.216506);(-0.500000,0.866026,0.250000)
(-0.757772,0.437500,0.216506);(-0.391747,0.678525,0.125000);(-0.437500,0.757772,0.216506)
(-0.678525,0.391747,0.125000);(-0.375000,0.649519,0.000000);(-0.391747,0.678525,0.125000)
(-0.649519,0.375000,0.000000);(-0.391747,0.678525,-0.125000);(-0.375000,0.649519,0.000000)
(-0.391747,0.678525,-0.125000);(-0.757772,0.437500,-0.216506);(-0.437500,0.757772,-0.216506)
(-0.757772,0.437500,-0.216506);(-0.500000,0.866026,-0.250000);(-0.437500,0.757772,-0.216506)
(-0.866025,0.500000,-0.250000);(-0.562500,0.974279,-0.216506);(-0.500000,0.866026,-0.250000)
(-0.562500,0.974279,-0.216506);(-1.053525,0.608253,-0.125000);(-0.608253,1.053526,-0.125000)
(-1.053525,0.608253,-0.125000);(-0.625000,1.082532,0.000000);(-0.608253,1.053526,-0.125000)
(-1.250000,0.000000,0.000000);(-1.053525,0.608253,0.125000);(-1.082532,0.625000,0.000000)
(-1.216506,0.000000,0.125000);(-0.974278,0.562500,0.216506);(-1.053525,0.608253,0.125000)
(-1.125000,0.000000,0.216506);(-0.866025,0.500000,0.250000);(-0.974278,0.562500,0.216506)
(-1.000000,0.000000,0.250000);(-0.757772,0.437500,0.216506);(-0.866025,0.500000,0.250000)
(-0.875000,0.000000,0.216506);(-0.678525,0.391747,0.125000);(-0.757772,0.437500,0.216506)
(-0.783494,0.000000,0.125000);(-0.649519,0.375000,0.000000);(-0.678525,0.391747,0.125000)
(-0.750000,0.000000,0.000000);(-0.678525,0.391747,-0.125000);(-0.649519,0.375000,0.000000)
(-0.678525,0.391747,-0.125000);(-0.875000,0.000000,-0.216506);(-0.757772,0.437500,-0.216506)
(-0.757772,0.437500,-0.216506);(-1.000000,0.000000,-0.250000);(-0.866025,0.500000,-0.250000)
(-0.866025,0.500000,-0.250000);(-1.125000,0.000000,-0.216506);(-0.974278,0.562500,-0.216506)
(-0.974278,0.562500,-0.216506);(-1.216506,0.000000,-0.125000);(-1.053525,0.608253,-0.125000)
(-1.216506,0.000000,-0.125000);(-1.082532,0.625000,0.000000);(-1.053525,0.608253,-0.125000)
(-1.082532,-0.625000,0.000000);(-1.216506,0.000000,0.125000);(-1.250000,0.000000,0.000000)
(-1.053526,-0.608253,0.125000);(-1.125000,0.000000,0.216506);(-1.216506,0.000000,0.125000)
(-1.125000,0.000000,0.216506);(-0.866026,-0.500000,0.250000);(-1.000000,0.000000,0.250000)
(-0.866026,-0.500000,0.250000);(-0.875000,0.000000,0.216506);(-1.000000,0.000000,0.250000)
(-0.757772,-0.437500,0.216506);(-0.783494,0.000000,0.125000);(-0.875000,0.000000,0.216506)
(-0.678525,-0.391747,0.125000);(-0.750000,0.000000,0.000000);(-0.783494,0.000000,0.125000)
(-0.750000,0.000000,0.000000);(-0.678525,-0.391747,-0.125000);(-0.783494,0.000000,-0.125000)
(-0.783494,0.000000,-0.125000);(-0.757772,-0.437500,-0.216506);(-0.875000,0.000000,-0.216506)
(-0.757772,-0.437500,-0.216506);(-1.000000,0.000000,-0.250000);(-0.875000,0.000000,-0.216506)
(-0.866026,-0.500000,-0.250000);(-1.125000,0.000000,-0.216506);(-1.000000,0.000000,-0.250000)
(-1.125000,0.000000,-0.216506);(-1.053526,-0.608253,-0.125000);(-1.216506,0.000000,-0.125000)
(-1.053526,-0.608253,-0.125000);(-1.250000,0.000000,0.000000);(-1.216506,0.000000,-0.125000)
(-0.625000,-1.082532,0.000000);(-1.053526,-0.608253,0.125000);(-1.082532,-0.625000,0.000000)
(-0.608253,-1.053526,0.125000);(-0.974279,-0.562500,0.216506);(-1.053526,-0.608253,0.125000)
(-0.562500,-0.974279,0.216506);(-0.866026,-0.500000,0.250000);(-0.974279,-0.562500,0.216506)
(-0.500000,-0.866026,0.250000);(-0.757772,-0.437500,0.216506);(-0.866026,-0.500000,0.250000)
(-0.437500,-0.757772,0.216506);(-0.678525,-0.391747,0.125000);(-0.757772,-0.437500,0.216506)
(-0.391747,-0.678525,0.125000);(-0.649519,-0.375000,0.000000);(-0.678525,-0.391747,0.125000)
(-0.649519,-0.375000,0.000000);(-0.391747,-0.678525,-0.125000);(-0.678525,-0.391747,-0.125000)
(-0.391747,-0.678525,-0.125000);(-0.757772,-0.437500,-0.216506);(-0.678525,-0.391747,-0.125000)
(-0.437500,-0.757772,-0.216506);(-0.866026,-0.500000,-0.250000);(-0.757772,-0.437500,-0.216506)
(-0.500000,-0.866026,-0.250000);(-0.974279,-0.562500,-0.216506);(-0.866026,-0.500000,-0.250000)
(-0.974279,-0.562500,-0.216506);(-0.608253,-1.053526,-0.125000);(-1.053526,-0.608253,-0.125000)
(-0.608253,-1.053526,-0.125000);(-1.082532,-0.625000,0.000000);(-1.053526,-0.608253,-0.125000)
(0.000000,-1.250000,0.000000);(-0.608253,-1.053526,0.125000);(-0.625000,-1.082532,0.000000)
(-0.608253,-1.053526,0.125000);(0.000000,-1.125000,0.216506);(-0.562500,-0.974279,0.216506)
(-0.562500,-0.974279,0.216506);(0.000000,-1.000000,0.250000);(-0.500000,-0.866026,0.250000)
(0.000000,-1.000000,0.250000);(-0.437500,-0.757772,0.216506);(-0.500000,-0.866026,0.250000)
(0.000000,-0.875000,0.216506);(-0.391747,-0.678525,0.125000);(-0.437500,-0.757772,0.216506)
(0.000000,-0.783494,0.125000);(-0.375000,-0.649519,0.000000);(-0.391747,-0.678525,0.125000)
(-0.375000,-0.649519,0.000000);(0.000000,-0.783494,-0.125000);(-0.391747,-0.678525,-0.125000)
(-0.391747,-0.678525,-0.125000);(0.000000,-0.875000,-0.216506);(-0.437500,-0.757772,-0.216506)
(0.000000,-0.875000,-0.216506);(-0.500000,-0.866026,-0.250000);(-0.437500,-0.757772,-0.216506)
(0.000000,-1.000000,-0.250000);(-0.562500,-0.974279,-0.216506);(-0.500000,-0.866026,-0.250000)
(0.000000,-1.125000,-0.216506);(-0.608253,-1.053526,-0.125000);(-0.562500,-0.974279,-0.216506)
(-0.608253,-1.053526,-0.125000);(0.000000,-1.250000,0.000000);(-0.625000,-1.082532,0.000000)
(0.625000,-1.082532,0.000000);(0.000000,-1.216506,0.125000);(0.000000,-1.250000,0.000000)
(0.000000,-1.216506,0.125000);(0.562500,-0.974279,0.216506);(0.000000,-1.125000,0.216506)
(0.000000,-1.125000,0.216506);(0.500000,-0.866025,0.250000);(0.000000,-1.000000,0.250000)
(0.000000,-1.000000,0.250000);(0.437500,-0.757772,0.216506);(0.000000,-0.875000,0.216506)
(0.000000,-0.875000,0.216506);(0.391747,-0.678525,0.125000);(0.000000,-0.783494,0.125000)
(0.391747,-0.678525,0.125000);(0.000000,-0.750000,0.000000);(0.000000,-0.783494,0.125000)
(0.000000,-0.750000,0.000000);(0.391747,-0.678525,-0.125000);(0.000000,-0.783494,-0.125000)
(0.391747,-0.678525,-0.125000);(0.000000,-0.875000,-0.216506);(0.000000,-0.783494,-0.125000)
(0.437500,-0.757772,-0.216506);(0.000000,-1.000000,-0.250000);(0.000000,-0.875000,-0.216506)
(0.500000,-0.866025,-0.250000);(0.000000,-1.125000,-0.216506);(0.000000,-1.000000,-0.250000)
(0.562500,-0.974279,-0.216506);(0.000000,-1.216506,-0.125000);(0.000000,-1.125000,-0.216506)
(0.608253,-1.053525,-0.125000);(0.000000,-1.250000,0.000000);(0.000000,-1.216506,-0.125000)
(1.082532,-0.625000,0.000000);(0.608253,-1.053525,0.125000);(0.625000,-1.082532,0.000000)
(1.053525,-0.608253,0.125000);(0.562500,-0.974279,0.216506);(0.608253,-1.053525,0.125000)
(0.974279,-0.562500,0.216506);(0.500000,-0.866025,0.250000);(0.562500,-0.974279,0.216506)
(0.866025,-0.500000,0.250000);(0.437500,-0.757772,0.216506);(0.500000,-0.866025,0.250000)
(0.757772,-0.437500,0.216506);(0.391747,-0.678525,0.125000);(0.437500,-0.757772,0.216506)
(0.678525,-0.391747,0.125000);(0.375000,-0.649519,0.000000);(0.391747,-0.678525,0.125000)
(0.649519,-0.375000,0.000000);(0.391747,-0.678525,-0.125000);(0.375000,-0.649519,0.000000)
(0.391747,-0.678525,-0.125000);(0.757772,-0.437500,-0.216506);(0.437500,-0.757772,-0.216506)
(0.757772,-0.437500,-0.216506);(0.500000,-0.866025,-0.250000);(0.437500,-0.757772,-0.216506)
(0.866025,-0.500000,-0.250000);(0.562500,-0.974279,-0.216506);(0.500000,-0.866025,-0.250000)
(0.974279,-0.562500,-0.216506);(0.608253,-1.053525,-0.125000);(0.562500,-0.974279,-0.216506)
(1.053525,-0.608253,-0.125000);(0.625000,-1.082532,0.000000);(0.608253,-1.053525,-0.125000)
(1.250000,0.000000,0.000000);(1.053525,-0.608253,0.125000);(1.082532,-0.625000,0.000000)
(1.053525,-0.608253,0.125000);(1.125000,0.000000,0.216506);(0.974279,-0.562500,0.216506)
(0.974279,-0.562500,0.216506);(1.000000,0.000000,0.250000);(0.866025,-0.500000,0.250000)
(1.000000,0.000000,0.250000);(0.757772,-0.437500,0.216506);(0.866025,-0.500000,0.250000)
(0.875000,0.000000,0.216506);(0.678525,-0.391747,0.125000);(0.757772,-0.437500,0.216506)
(0.678525,-0.391747,0.125000);(0.750000,0.000000,0.000000);(0.649519,-0.375000,0.000000)
(0.750000,0.000000,0.000000);(0.678525,-0.391747,-0.125000);(0.649519,-0.375000,0.000000)
(0.678525,-0.391747,-0.125000);(0.875000,0.000000,-0.216506);(0.757772,-0.437500,-0.216506)
(0.875000,0.000000,-0.216506);(0.866025,-0.500000,-0.250000);(0.757772,-0.437500,-0.216506)
(1.000000,0.000000,-0.250000);(0.974279,-0.562500,-0.216506);(0.866025,-0.500000,-0.250000)
(1.125000,0.000000,-0.216506);(1.053525,-0.608253,-0.125000);(0.974279,-0.562500,-0.216506)
(1.216506,0.000000,-0.125000);(1.082532,-0.625000,0.000000);(1.053525,-0.608253,-0.125000)
(1.082532,0.625000,0.000000);(1.053525,0.608253,0.125000);(1.216506,0.000000,0.125000)
(1.053525,0.608253,0.125000);(0.974279,0.562500,0.216506);(1.125000,0.000000,0.216506)
(0.974279,0.562500,0.216506);(0.866025,0.500000,0.250000);(1.000000,0.000000,0.250000)
(0.866025,0.500000,0.250000);(0.757772,0.437500,0.216506);(0.875000,0.000000,0.216506)
(0.875000,0.000000,0.216506);(0.757772,0.437500,0.216506);(0.678525,0.391747,0.125000)
(0.678525,0.391747,0.125000);(0.649519,0.375000,0.000000);(0.750000,0.000000,0.000000)
(0.750000,0.000000,0.000000);(0.649519,0.375000,0.000000);(0.678525,0.391747,-0.125000)
(0.678525,0.391747,-0.125000);(0.757772,0.437500,-0.216506);(0.875000,0.000000,-0.216506)
(0.757772,0.437500,-0.216506);(0.866025,0.500000,-0.250000);(1.000000,0.000000,-0.250000)
(1.000000,0.000000,-0.250000);(0.866025,0.500000,-0.250000);(0.974279,0.562500,-0.216506)
(1.125000,0.000000,-0.216506);(0.974279,0.562500,-0.216506);(1.053525,0.608253,-0.125000)
(1.053525,0.608253,-0.125000);(1.082532,0.625000,0.000000);(1.250000,0.000000,0.000000)
(0.625000,1.082532,0.000000);(0.608253,1.053525,0.125000);(1.053525,0.608253,0.125000)
(0.608253,1.053525,0.125000);(0.562500,0.974279,0.216506);(0.974279,0.562500,0.216506)
(0.562500,0.974279,0.216506);(0.500000,0.866025,0.250000);(0.866025,0.500000,0.250000)
(0.500000,0.866025,0.250000);(0.437500,0.757772,0.216506);(0.757772,0.437500,0.216506)
(0.757772,0.437500,0.216506);(0.437500,0.757772,0.216506);(0.391747,0.678525,0.125000)
(0.391747,0.678525,0.125000);(0.375000,0.649519,0.000000);(0.649519,0.375000,0.000000)
(0.375000,0.649519,0.000000);(0.391747,0.678525,-0.125000);(0.678525,0.391747,-0.125000)
(0.391747,0.678525,-0.125000);(0.437500,0.757772,-0.216506);(0.757772,0.437500,-0.216506)
(0.437500,0.757772,-0.216506);(0.500000,0.866025,-0.250000);(0.866025,0.500000,-0.250000)
(0.500000,0.866025,-0.250000);(0.562500,0.974279,-0.216506);(0.974279,0.562500,-0.216506)
(0.562500,0.974279,-0.216506);(0.608253,1.053525,-0.125000);(1.053525,0.608253,-0.125000)
(0.608253,1.053525,-0.125000);(0.625000,1.082532,0.000000);(1.082532,0.625000,0.000000)
(0.000000,1.250000,0.000000);(0.000000,1.216506,0.125000);(0.608253,1.053525,0.125000)
(0.000000,1.216506,0.125000);(0.000000,1.125000,0.216506);(0.562500,0.974279,0.216506)
(0.000000,1.125000,0.216506);(0.000000,1.000000,0.250000);(0.500000,0.866025,0.250000)
(0.000000,1.000000,0.250000);(0.000000,0.875000,0.216506);(0.437500,0.757772,0.216506)
(0.000000,0.875000,0.216506);(0.000000,0.783494,0.125000);(0.391747,0.678525,0.125000)
(0.391747,0.678525,0.125000);(0.000000,0.783494,0.125000);(0.000000,0.750000,0.000000)
(0.000000,0.750000,0.000000);(0.000000,0.783494,-0.125000);(0.391747,0.678525,-0.125000)
(0.391747,0.678525,-0.125000);(0.000000,0.783494,-0.125000);(0.000000,0.875000,-0.216506)
(0.437500,0.757772,-0.216506);(0.000000,0.875000,-0.216506);(0.000000,1.000000,-0.250000)
(0.500000,0.866025,-0.250000);(0.000000,1.000000,-0.250000);(0.000000,1.125000,-0.216506)
(0.562500,0.974279,-0.216506);(0.000000,1.125000,-0.216506);(0.000000,1.216506,-0.125000)
(0.000000,1.216506,-0.125000);(0.000000,1.250000,0.000000);(0.625000,1.082532,0.000000)
(0.000000,1.250000,0.000000);(-0.625000,1.082532,0.000000);(-0.608253,1.053526,0.125000)
(-0.608253,1.053526,0.125000);(-0.562500,0.974279,0.216506);(0.000000,1.125000,0.216506)
(-0.562500,0.974279,0.216506);(-0.500000,0.866026,0.250000);(0.000000,1.000000,0.250000)
(-0.500000,0.866026,0.250000);(-0.437500,0.757772,0.216506);(0.000000,0.875000,0.216506)
(0.000000,0.875000,0.216506);(-0.437500,0.757772,0.216506);(-0.391747,0.678525,0.125000)
(0.000000,0.783494,0.125000);(-0.391747,0.678525,0.125000);(-0.375000,0.649519,0.000000)
(-0.375000,0.649519,0.000000);(-0.391747,0.678525,-0.125000);(0.000000,0.783494,-0.125000)
(-0.391747,0.678525,-0.125000);(-0.437500,0.757772,-0.216506);(0.000000,0.875000,-0.216506)
(-0.437500,0.757772,-0.216506);(-0.500000,0.866026,-0.250000);(0.000000,1.000000,-0.250000)
(0.000000,1.000000,-0.250000);(-0.500000,0.866026,-0.250000);(-0.562500,0.974279,-0.216506)
(0.000000,1.125000,-0.216506);(-0.562500,0.974279,-0.216506);(-0.608253,1.053526,-0.125000)
(-0.608253,1.053526,-0.125000);(-0.625000,1.082532,0.000000);(0.000000,1.250000,0.000000)
(-0.625000,1.082532,0.000000);(-1.082532,0.625000,0.000000);(-1.053525,0.608253,0.125000)
(-1.053525,0.608253,0.125000);(-0.974278,0.562500,0.216506);(-0.562500,0.974279,0.216506)
(-0.562500,0.974279,0.216506);(-0.974278,0.562500,0.216506);(-0.866025,0.500000,0.250000)
(-0.866025,0.500000,0.250000);(-0.757772,0.437500,0.216506);(-0.437500,0.757772,0.216506)
(-0.757772,0.437500,0.216506);(-0.678525,0.391747,0.125000);(-0.391747,0.678525,0.125000)
(-0.678525,0.391747,0.125000);(-0.649519,0.375000,0.000000);(-0.375000,0.649519,0.000000)
(-0.649519,0.375000,0.000000);(-0.678525,0.391747,-0.125000);(-0.391747,0.678525,-0.125000)
(-0.391747,0.678525,-0.125000);(-0.678525,0.391747,-0.125000);(-0.757772,0.437500,-0.216506)
(-0.757772,0.437500,-0.216506);(-0.866025,0.500000,-0.250000);(-0.500000,0.866026,-0.250000)
(-0.866025,0.500000,-0.250000);(-0.974278,0.562500,-0.216506);(-0.562500,0.974279,-0.216506)
(-0.562500,0.974279,-0.216506);(-0.974278,0.562500,-0.216506);(-1.053525,0.608253,-0.125000)
(-1.053525,0.608253,-0.125000);(-1.082532,0.625000,0.000000);(-0.625000,1.082532,0.000000)
(-1.250000,0.000000,0.000000);(-1.216506,0.000000,0.125000);(-1.053525,0.608253,0.125000)
(-1.216506,0.000000,0.125000);(-1.125000,0.000000,0.216506);(-0.974278,0.562500,0.216506)
(-1.125000,0.000000,0.216506);(-1.000000,0.000000,0.250000);(-0.866025,0.500000,0.250000)
(-1.000000,0.000000,0.250000);(-0.875000,0.000000,0.216506);(-0.757772,0.437500,0.216506)
(-0.875000,0.000000,0.216506);(-0.783494,0.000000,0.125000);(-0.678525,0.391747,0.125000)
(-0.783494,0.000000,0.125000);(-0.750000,0.000000,0.000000);(-0.649519,0.375000,0.000000)
(-0.750000,0.000000,0.000000);(-0.783494,0.000000,-0.125000);(-0.678525,0.391747,-0.125000)
(-0.678525,0.391747,-0.125000);(-0.783494,0.000000,-0.125000);(-0.875000,0.000000,-0.216506)
(-0.757772,0.437500,-0.216506);(-0.875000,0.000000,-0.216506);(-1.000000,0.000000,-0.250000)
(-0.866025,0.500000,-0.250000);(-1.000000,0.000000,-0.250000);(-1.125000,0.000000,-0.216506)
(-0.974278,0.562500,-0.216506);(-1.125000,0.000000,-0.216506);(-1.216506,0.000000,-0.125000)
(-1.216506,0.000000,-0.125000);(-1.250000,0.000000,0.000000);(-1.082532,0.625000,0.000000)
(-1.082532,-0.625000,0.000000);(-1.053526,-0.608253,0.125000);(-1.216506,0.000000,0.125000)
(-1.053526,-0.608253,0.125000);(-0.974279,-0.562500,0.216506);(-1.125000,0.000000,0.216506)
(-1.125000,0.000000,0.216506);(-0.974279,-0.562500,0.216506);(-0.866026,-0.500000,0.250000)
(-0.866026,-0.500000,0.250000);(-0.757772,-0.437500,0.216506);(-0.875000,0.000000,0.216506)
(-0.757772,-0.437500,0.216506);(-0.678525,-0.391747,0.125000);(-0.783494,0.000000,0.125000)
(-0.678525,-0.391747,0.125000);(-0.649519,-0.375000,0.000000);(-0.750000,0.000000,0.000000)
(-0.750000,0.000000,0.000000);(-0.649519,-0.375000,0.000000);(-0.678525,-0.391747,-0.125000)
(-0.783494,0.000000,-0.125000);(-0.678525,-0.391747,-0.125000);(-0.757772,-0.437500,-0.216506)
(-0.757772,-0.437500,-0.216506);(-0.866026,-0.500000,-0.250000);(-1.000000,0.000000,-0.250000)
(-0.866026,-0.500000,-0.250000);(-0.974279,-0.562500,-0.216506);(-1.125000,0.000000,-0.216506)
(-1.125000,0.000000,-0.216506);(-0.974279,-0.562500,-0.216506);(-1.053526,-0.608253,-0.125000)
(-1.053526,-0.608253,-0.125000);(-1.082532,-0.625000,0.000000);(-1.250000,0.000000,0.000000)
(-0.625000,-1.082532,0.000000);(-0.608253,-1.053526,0.125000);(-1.053526,-0.608253,0.125000)
(-0.608253,-1.053526,0.125000);(-0.562500,-0.974279,0.216506);(-0.974279,-0.562500,0.216506)
(-0.562500,-0.974279,0.216506);(-0.500000,-0.866026,0.250000);(-0.866026,-0.500000,0.250000)
(-0.500000,-0.866026,0.250000);(-0.437500,-0.757772,0.216506);(-0.757772,-0.437500,0.216506)
(-0.437500,-0.757772,0.216506);(-0.391747,-0.678525,0.125000);(-0.678525,-0.391747,0.125000)
(-0.391747,-0.678525,0.125000);(-0.375000,-0.649519,0.000000);(-0.649519,-0.375000,0.000000)
(-0.649519,-0.375000,0.000000);(-0.375000,-0.649519,0.000000);(-0.391747,-0.678525,-0.125000)
(-0.391747,-0.678525,-0.125000);(-0.437500,-0.757772,-0.216506);(-0.757772,-0.437500,-0.216506)
(-0.437500,-0.757772,-0.216506);(-0.500000,-0.866026,-0.250000);(-0.866026,-0.500000,-0.250000)
(-0.500000,-0.866026,-0.250000);(-0.562500,-0.974279,-0.216506);(-0.974279,-0.562500,-0.216506)
(-0.974279,-0.562500,-0.216506);(-0.562500,-0.974279,-0.216506);(-0.608253,-1.053526,-0.125000)
(-0.608253,-1.053526,-0.125000);(-0.625000,-1.082532,0.000000);(-1.082532,-0.625000,0.000000)
(0.000000,-1.250000,0.000000);(0.000000,-1.216506,0.125000);(-0.608253,-1.053526,0.125000)
(-0.608253,-1.053526,0.125000);(0.000000,-1.216506,0.125000);(0.000000,-1.125000,0.216506)
(-0.562500,-0.974279,0.216506);(0.000000,-1.125000,0.216506);(0.000000,-1.000000,0.250000)
(0.000000,-1.000000,0.250000);(0.000000,-0.875000,0.216506);(-0.437500,-0.757772,0.216506)
(0.000000,-0.875000,0.216506);(0.000000,-0.783494,0.125000);(-0.391747,-0.678525,0.125000)
(0.000000,-0.783494,0.125000);(0.000000,-0.750000,0.000000);(-0.375000,-0.649519,0.000000)
(-0.375000,-0.649519,0.000000);(0.000000,-0.750000,0.000000);(0.000000,-0.783494,-0.125000)
(-0.391747,-0.678525,-0.125000);(0.000000,-0.783494,-0.125000);(0.000000,-0.875000,-0.216506)
(0.000000,-0.875000,-0.216506);(0.000000,-1.000000,-0.250000);(-0.500000,-0.866026,-0.250000)
(0.000000,-1.000000,-0.250000);(0.000000,-1.125000,-0.216506);(-0.562500,-0.974279,-0.216506)
(0.000000,-1.125000,-0.216506);(0.000000,-1.216506,-0.125000);(-0.608253,-1.053526,-0.125000)
(-0.608253,-1.053526,-0.125000);(0.000000,-1.216506,-0.125000);(0.000000,-1.250000,0.000000)
(0.625000,-1.082532,0.000000);(0.608253,-1.053525,0.125000);(0.000000,-1.216506,0.125000)
(0.000000,-1.216506,0.125000);(0.608253,-1.053525,0.125000);(0.562500,-0.974279,0.216506)
(0.000000,-1.125000,0.216506);(0.562500,-0.974279,0.216506);(0.500000,-0.866025,0.250000)
(0.000000,-1.000000,0.250000);(0.500000,-0.866025,0.250000);(0.437500,-0.757772,0.216506)
(0.000000,-0.875000,0.216506);(0.437500,-0.757772,0.216506);(0.391747,-0.678525,0.125000)
(0.391747,-0.678525,0.125000);(0.375000,-0.649519,0.000000);(0.000000,-0.750000,0.000000)
(0.000000,-0.750000,0.000000);(0.375000,-0.649519,0.000000);(0.391747,-0.678525,-0.125000)
(0.391747,-0.678525,-0.125000);(0.437500,-0.757772,-0.216506);(0.000000,-0.875000,-0.216506)
(0.437500,-0.757772,-0.216506);(0.500000,-0.866025,-0.250000);(0.000000,-1.000000,-0.250000)
(0.500000,-0.866025,-0.250000);(0.562500,-0.974279,-0.216506);(0.000000,-1.125000,-0.216506)
(0.562500,-0.974279,-0.216506);(0.608253,-1.053525,-0.125000);(0.000000,-1.216506,-0.125000)
(0.608253,-1.053525,-0.125000);(0.625000,-1.082532,0.000000);(0.000000,-1.250000,0.000000)
(1.082532,-0.625000,0.000000);(1.053525,-0.608253,0.125000);(0.608253,-1.053525,0.125000)
