(0.195312,-0.617188,0.664062);(0.156250,-0.757812,0.718750);(0.320312,-0.734375,0.757812)
(0.335938,-0.593750,0.687500);(0.320312,-0.734375,0.757812);(0.492188,-0.687500,0.601562)
(0.755414,-0.408855,0.407941);(0.859375,-0.593750,0.429688);(0.828125,-0.445312,0.148438)
(0.601562,-0.414062,0.000000);(0.773438,-0.375000,0.164062);(0.828125,-0.445312,0.148438)
(0.437500,-0.468750,-0.093750);(0.601562,-0.414062,0.000000);(0.632812,-0.539062,-0.039062)
(0.164062,-0.437500,-0.945312);(0.000000,-0.460938,-0.976562);(0.000000,-0.343750,-0.804688)
(0.164062,-0.437500,-0.945312);(0.322643,-0.532488,-0.949460);(0.000000,-0.594383,-0.981004)
(0.174476,-0.262033,-0.414907);(0.234375,-0.406250,-0.351562);(0.250000,-0.390625,-0.500000)
(0.215819,-0.557337,-0.191112);(0.312500,-0.570312,-0.437500);(0.234375,-0.406250,-0.351562)
(0.437500,-0.531250,-0.140625);(0.215819,-0.557337,-0.191112);(0.202354,-0.502753,-0.171444)
(0.000000,0.828125,0.070312);(0.461503,0.575505,0.027541);(0.343750,0.539062,-0.148438)
(0.000000,0.351562,-0.382812);(0.000000,0.671875,-0.195312);(0.343750,0.539062,-0.148438)
(0.174476,-0.262033,-0.414907);(0.000000,-0.276405,-0.480292);(0.000000,0.351562,-0.382812)
(0.734375,-0.070312,-0.046875);(0.851562,-0.054688,0.234375);(0.773438,-0.375000,0.164062)
(0.000000,0.828125,0.070312);(0.000000,0.851562,0.562500);(0.460938,0.703125,0.437500)
(0.000000,0.078125,0.984375);(0.000000,-0.289062,0.898438);(0.453125,-0.234375,0.851562)
(0.453125,0.382812,0.867188);(0.000000,0.546875,0.898438);(0.000000,0.078125,0.984375)
(0.460938,0.703125,0.437500);(0.000000,0.851562,0.562500);(0.000000,0.546875,0.898438)
(0.796875,-0.125000,0.562500);(0.640625,-0.054688,0.703125);(0.632812,-0.281250,0.453125)
(0.796875,0.359375,0.539062);(0.773438,0.437500,0.265625);(0.617188,0.585938,0.328125)
(0.640625,0.445312,0.679688);(0.617188,0.585938,0.328125);(0.460938,0.703125,0.437500)
(0.787148,0.149983,0.623497);(0.640625,0.445312,0.679688);(0.453125,0.382812,0.867188)
(0.640625,-0.054688,0.703125);(0.787148,0.149983,0.623497);(0.453125,0.070312,0.929688)
(0.632812,-0.281250,0.453125);(0.640625,-0.054688,0.703125);(0.453125,-0.234375,0.851562)
(0.460938,-0.429688,0.523438);(0.484375,-0.554688,0.554688);(0.755414,-0.408855,0.407941)
(0.000000,-0.289062,0.898438);(0.000000,-0.570312,0.570312);(0.460938,-0.429688,0.523438)
(0.484375,-0.554688,0.554688);(0.109375,-0.609375,0.460938);(0.195312,-0.617188,0.664062)
(0.460938,-0.429688,0.523438);(0.000000,-0.570312,0.570312);(0.109375,-0.609375,0.460938)
(0.726562,-0.335938,0.406250);(0.755414,-0.408855,0.407941);(0.773438,-0.375000,0.164062)
(0.796875,-0.125000,0.562500);(0.726562,-0.335938,0.406250);(0.851562,-0.054688,0.234375)
(0.787148,0.149983,0.623497);(0.796875,-0.125000,0.562500);(0.859375,0.046875,0.320312)
(0.820312,0.203125,0.328125);(0.773438,0.437500,0.265625);(0.796875,0.359375,0.539062)
(0.406250,-0.148438,-0.171875);(0.174476,-0.262033,-0.414907);(0.296875,0.265625,-0.312500)
(0.593750,0.164062,-0.125000);(0.734375,-0.070312,-0.046875);(0.406250,-0.148438,-0.171875)
(0.406250,-0.148438,-0.171875);(0.734375,-0.070312,-0.046875);(0.601562,-0.414062,0.000000)
(0.218750,-0.429688,-0.281250);(0.406250,-0.148438,-0.171875);(0.437500,-0.468750,-0.093750)
(0.617188,0.585938,0.328125);(0.773438,0.437500,0.265625);(0.640625,0.429688,-0.007812)
(0.640625,0.429688,-0.007812);(0.593750,0.164062,-0.125000);(0.429688,0.210938,-0.195312)
(0.429688,0.210938,-0.195312);(0.296875,0.265625,-0.312500);(0.343750,0.539062,-0.148438)
(1.187500,0.390625,0.437500);(1.234375,0.421875,0.507812);(1.023438,0.312500,0.476562)
(1.351562,0.421875,0.320312);(1.234375,0.421875,0.507812);(1.187500,0.390625,0.437500)
(1.281250,0.429688,0.054688);(1.351562,0.421875,0.320312);(1.265625,0.406250,0.289062)
(1.039062,0.328125,-0.101562);(1.281250,0.429688,0.054688);(1.210938,0.406250,0.078125)
(0.828125,0.132812,-0.070312);(0.773438,0.125000,-0.140625);(1.039062,0.328125,-0.101562)
(0.893377,0.262959,-0.011512);(0.828125,0.132812,-0.070312);(1.031250,0.304688,-0.039062)
(1.034042,0.402129,0.005740);(1.031250,0.304688,-0.039062);(1.210938,0.406250,0.078125)
(1.210938,0.406250,0.078125);(1.265625,0.406250,0.289062);(1.233137,0.455662,0.248091)
(1.265625,0.406250,0.289062);(1.187500,0.390625,0.437500);(1.170774,0.460286,0.345162)
(1.187500,0.390625,0.437500);(0.937324,0.232705,0.378745);(1.009372,0.382237,0.319332)
(0.705371,0.168312,-0.026559);(0.593750,0.164062,-0.125000);(0.773438,0.125000,-0.140625)
(1.034042,0.402129,0.005740);(1.192819,0.462091,0.095986);(1.020655,0.373543,0.166220)
(1.192819,0.462091,0.095986);(1.233137,0.455662,0.248091);(1.101664,0.388517,0.234511)
(0.937324,0.232705,0.378745);(0.890625,0.234375,0.406250);(0.820312,0.203125,0.328125)
(0.840718,0.310407,-0.000323);(0.705371,0.168312,-0.026559);(0.828125,0.132812,-0.070312)
(0.840718,0.310407,-0.000323);(0.843750,0.273438,0.015625);(0.718750,0.187500,0.039062)
(0.843750,0.273438,0.015625);(0.828115,0.316130,0.081631);(0.765028,0.271794,0.094065)
(0.919003,0.275109,0.278017);(0.765028,0.271794,0.094065);(0.772395,0.309668,0.095367)
(0.931794,0.333012,0.278490);(0.772395,0.309668,0.095367);(0.942938,0.337518,0.065811)
(0.789062,0.328125,-0.125000);(1.039062,0.492188,-0.085938);(1.039062,0.328125,-0.101562)
(1.039062,0.492188,-0.085938);(1.312500,0.531250,0.054688);(1.281250,0.429688,0.054688)
(1.367188,0.500000,0.296875);(1.351562,0.421875,0.320312);(1.281250,0.429688,0.054688)
(1.250000,0.546875,0.468750);(1.234375,0.421875,0.507812);(1.351562,0.421875,0.320312)
(1.023438,0.484375,0.437500);(1.023438,0.312500,0.476562);(1.234375,0.421875,0.507812)
(0.859375,0.382812,0.382812);(0.890625,0.234375,0.406250);(1.023438,0.312500,0.476562)
(0.859375,0.382812,0.382812);(1.023438,0.484375,0.437500);(1.039062,0.492188,-0.085938)
(1.312500,0.531250,0.054688);(1.039062,0.492188,-0.085938);(1.023438,0.484375,0.437500)
(0.859375,0.382812,0.382812);(0.773438,0.437500,0.265625);(0.820312,0.203125,0.328125)
(0.789062,0.328125,-0.125000);(0.640625,0.429688,-0.007812);(0.773438,0.437500,0.265625)
(0.789062,0.328125,-0.125000);(0.773438,0.125000,-0.140625);(0.593750,0.164062,-0.125000)
(0.281250,-0.765625,0.398438);(0.335938,-0.750000,0.406250);(0.323755,-0.762084,0.434255)
(-0.351562,-0.828125,0.242188);(-0.470058,-0.764589,0.241298);(-0.441113,-0.772070,0.163696)
(-0.355748,-0.790130,0.128909);(-0.351562,-0.828125,0.242188);(-0.441113,-0.772070,0.163696)
(-0.351562,-0.828125,0.242188);(-0.355748,-0.790130,0.128909);(-0.274434,-0.806153,0.159877)
(-0.351562,-0.828125,0.242188);(-0.274434,-0.806153,0.159877);(-0.239290,-0.806081,0.240491)
(-0.351562,-0.828125,0.242188);(-0.239290,-0.806081,0.240491);(-0.272369,-0.808239,0.330837)
(-0.351562,-0.828125,0.242188);(-0.272369,-0.808239,0.330837);(-0.355177,-0.790564,0.363873)
(-0.351562,-0.828125,0.242188);(-0.355177,-0.790564,0.363873);(-0.441218,-0.771941,0.328083)
(-0.351562,-0.828125,0.242188);(-0.441218,-0.771941,0.328083);(-0.470058,-0.764589,0.241298)
(-0.230294,-0.629553,-0.919099);(-0.322643,-0.532488,-0.949460);(0.000000,-0.594383,-0.981004)
(-0.301068,-0.747120,0.492694);(-0.203125,-0.851562,0.617188);(-0.308119,-0.837350,0.636422)
(-0.617188,-0.625000,0.054688);(-0.400341,-0.693188,0.010355);(-0.694668,-0.603263,0.158584)
(-0.127234,-0.757193,0.212729);(0.000000,-0.726562,0.046875);(0.000000,-0.765625,0.210938)
(-0.125000,-0.750000,-0.226562);(-0.072646,-0.747936,-0.297664);(-0.130492,-0.812825,-0.225592)
(0.000000,-0.828125,-0.203125);(-0.130492,-0.812825,-0.225592);(0.000000,-0.784213,-0.316271)
(-0.101562,-0.742188,-0.148438);(-0.125000,-0.812500,-0.101562);(-0.172976,-0.713969,-0.285087)
(-0.072646,-0.747936,-0.297664);(-0.125000,-0.750000,-0.226562);(-0.172976,-0.713969,-0.285087)
(-0.215819,-0.557337,-0.191112);(-0.312500,-0.570312,-0.437500);(-0.172976,-0.713969,-0.285087)
(-0.203125,-0.742188,0.093750);(-0.127234,-0.757193,0.212729);(-0.188102,-0.774922,0.145992)
(-0.400341,-0.693188,0.010355);(-0.375000,-0.742188,0.062500);(-0.476562,-0.718750,0.101562)
(-0.301068,-0.747120,0.492694);(-0.411560,-0.752042,0.390627);(-0.323755,-0.762084,0.434255)
(-0.368714,-0.542263,-0.876306);(-0.312500,-0.570312,-0.437500);(-0.250000,-0.390625,-0.500000)
(-0.411560,-0.752042,0.390627);(-0.579374,-0.691487,0.338891);(-0.531250,-0.679688,0.335938)
(-0.579374,-0.691487,0.338891);(-0.554688,-0.671875,0.281250);(-0.531250,-0.679688,0.335938)
(-0.375000,-0.742188,0.062500);(-0.188102,-0.774922,0.145992);(-0.242188,-0.757812,0.125000)
(-0.188102,-0.774922,0.145992);(-0.199861,-0.747545,0.172703);(-0.242188,-0.757812,0.125000)
(-0.192666,-0.782883,0.355801);(-0.234375,-0.757812,0.359375);(-0.195312,-0.757812,0.296875)
(-0.734375,-0.070312,-0.046875);(-0.718750,0.187500,0.039062);(-0.705371,0.168312,-0.026559)
(-0.322643,-0.532488,-0.949460);(-0.323183,-0.398961,-0.913429);(-0.164062,-0.437500,-0.945312)
(-1.101664,0.388517,0.234511);(-1.009372,0.382237,0.319332);(-1.170774,0.460286,0.345162)
(-0.174476,-0.262033,-0.414907);(-0.234375,-0.406250,-0.351562);(-0.218750,-0.429688,-0.281250)
(-0.755414,-0.408855,0.407941);(-0.632812,-0.281250,0.453125);(-0.726562,-0.335938,0.406250)
(-0.787148,0.149983,0.623497);(-0.640625,0.445312,0.679688);(-0.796875,0.359375,0.539062)
(0.000000,-0.601562,0.406250);(0.000000,-0.570312,0.570312);(-0.109375,-0.609375,0.460938)
(-0.218750,-0.429688,-0.281250);(-0.406250,-0.148438,-0.171875);(-0.174476,-0.262033,-0.414907)
(-0.617188,0.585938,0.328125);(-0.460938,0.703125,0.437500);(-0.461503,0.575505,0.027541)
(-0.890625,0.234375,0.406250);(-1.023438,0.312500,0.476562);(-0.937324,0.232705,0.378745)
(-0.937324,0.232705,0.378745);(-1.009372,0.382237,0.319332);(-0.919003,0.275109,0.278017)
(-0.593750,0.164062,-0.125000);(-0.734375,-0.070312,-0.046875);(-0.705371,0.168312,-0.026559)
(-0.819486,0.207733,0.243654);(-0.937324,0.232705,0.378745);(-0.919003,0.275109,0.278017)
(-0.859375,0.046875,0.320312);(-0.820312,0.203125,0.328125);(-0.819486,0.207733,0.243654)
(-0.828115,0.316130,0.081631);(-0.765028,0.271794,0.094065);(-0.772395,0.309668,0.095367)
(-0.840718,0.310407,-0.000323);(-0.828115,0.316130,0.081631);(-0.942938,0.337518,0.065811)
(-1.020655,0.373543,0.166220);(-1.009372,0.382237,0.319332);(-1.101664,0.388517,0.234511)
(-1.034042,0.402129,0.005740);(-0.893377,0.262959,-0.011512);(-0.942938,0.337518,0.065811)
(-0.484375,-0.554688,0.554688);(-0.710938,-0.625000,0.484375);(-0.492188,-0.687500,0.601562)
(-0.250000,-0.390625,-0.500000);(-0.140625,-0.367188,-0.757812);(-0.323183,-0.398961,-0.913429)
(-1.250000,0.546875,0.468750);(-1.312500,0.531250,0.054688);(-1.367188,0.500000,0.296875)
(-0.546875,-0.578125,0.054688);(-0.500000,-0.687500,0.093750);(-0.562500,-0.671875,0.242188)
(-0.351562,-0.617188,-0.023438);(-0.351562,-0.718750,0.031250);(-0.500000,-0.687500,0.093750)
(-0.351562,-0.718750,0.031250);(-0.355748,-0.790130,0.128909);(-0.441113,-0.772070,0.163696)
(-0.203125,-0.742188,0.093750);(-0.274434,-0.806153,0.159877);(-0.355748,-0.790130,0.128909)
(-0.156250,-0.648438,0.054688);(-0.203125,-0.742188,0.093750);(-0.351562,-0.718750,0.031250)
(-0.156250,-0.648438,0.054688);(-0.078125,-0.656250,0.242188);(-0.140625,-0.742188,0.242188)
(-0.203125,-0.742188,0.093750);(-0.140625,-0.742188,0.242188);(-0.239290,-0.806081,0.240491)
(-0.203125,-0.742188,0.390625);(-0.272369,-0.808239,0.330837);(-0.239290,-0.806081,0.240491)
(-0.078125,-0.656250,0.242188);(-0.156250,-0.648438,0.437500);(-0.203125,-0.742188,0.390625)
(-0.156250,-0.648438,0.437500);(-0.351562,-0.617188,0.515625);(-0.351562,-0.718750,0.453125)
(-0.203125,-0.742188,0.390625);(-0.351562,-0.718750,0.453125);(-0.355177,-0.790564,0.363873)
(-0.351562,-0.718750,0.453125);(-0.500000,-0.687500,0.390625);(-0.441218,-0.771941,0.328083)
(-0.351562,-0.617188,0.515625);(-0.546875,-0.578125,0.437500);(-0.500000,-0.687500,0.390625)
(-0.546875,-0.578125,0.437500);(-0.625000,-0.562500,0.242188);(-0.562500,-0.671875,0.242188)
(-0.500000,-0.687500,0.390625);(-0.562500,-0.671875,0.242188);(-0.470058,-0.764589,0.241298)
(-0.230294,-0.629553,-0.919099);(-0.266243,-0.671648,-0.794321);(-0.368714,-0.542263,-0.876306)
(-0.266243,-0.671648,-0.794321);(-0.172976,-0.713969,-0.285087);(-0.312500,-0.570312,-0.437500)
(-0.398438,-0.671875,-0.046875);(-0.437500,-0.531250,-0.140625);(-0.215819,-0.557337,-0.191112)
(-0.398438,-0.671875,-0.046875);(-0.617188,-0.625000,0.054688);(-0.632812,-0.539062,-0.039062)
(-0.694668,-0.603263,0.158584);(-0.828125,-0.445312,0.148438);(-0.632812,-0.539062,-0.039062)
(-0.694668,-0.603263,0.158584);(-0.742188,-0.656250,0.375000);(-0.859375,-0.593750,0.429688)
(-0.742188,-0.656250,0.375000);(-0.687500,-0.726562,0.414062);(-0.710938,-0.625000,0.484375)
(-0.687500,-0.726562,0.414062);(-0.308119,-0.837350,0.636422);(-0.492188,-0.687500,0.601562)
(-0.308119,-0.837350,0.636422);(-0.203125,-0.851562,0.617188);(-0.156250,-0.757812,0.718750)
(-0.492188,-0.687500,0.601562);(-0.308119,-0.837350,0.636422);(-0.320312,-0.734375,0.757812)
(-0.203125,-0.851562,0.617188);(-0.101562,-0.843750,0.429688);(-0.062500,-0.750000,0.492188)
(-0.101562,-0.843750,0.429688);(0.000000,-0.820312,0.351562);(0.000000,-0.742188,0.429688)
(-0.101562,-0.843750,0.429688);(-0.203125,-0.851562,0.617188);(-0.301068,-0.747120,0.492694)
(-0.301068,-0.747120,0.492694);(-0.308119,-0.837350,0.636422);(-0.687500,-0.726562,0.414062)
(-0.500000,-0.687500,0.093750);(-0.441113,-0.772070,0.163696);(-0.470058,-0.764589,0.241298)
(-0.203125,-0.742188,0.093750);(-0.400341,-0.693188,0.010355);(-0.398438,-0.671875,-0.046875)
(-0.742188,-0.656250,0.375000);(-0.590717,-0.676971,0.371717);(-0.687500,-0.726562,0.414062)
(-0.694668,-0.603263,0.158584);(-0.590717,-0.676971,0.371717);(-0.742188,-0.656250,0.375000)
(-0.398438,-0.671875,-0.046875);(-0.400341,-0.693188,0.010355);(-0.617188,-0.625000,0.054688)
(0.000000,-0.726562,0.046875);(-0.127234,-0.757193,0.212729);(-0.203125,-0.742188,0.093750)
(-0.127234,-0.757193,0.212729);(0.000000,-0.765625,0.210938);(0.000000,-0.820312,0.351562)
(-0.101562,-0.843750,0.429688);(-0.143020,-0.775159,0.349482);(0.000000,-0.820312,0.351562)
(-0.266243,-0.671648,-0.794321);(-0.230294,-0.629553,-0.919099);(-0.094709,-0.711497,-0.834005)
(-0.094709,-0.711497,-0.834005);(-0.230294,-0.629553,-0.919099);(0.000000,-0.694009,-0.875324)
(-0.101129,-0.733665,-0.734649);(-0.072646,-0.747936,-0.297664);(-0.172976,-0.713969,-0.285087)
(-0.101129,-0.733665,-0.734649);(0.000000,-0.730059,-0.769970);(0.000000,-0.746097,-0.327515)
(-0.125000,-0.750000,-0.226562);(-0.130492,-0.812825,-0.225592);(-0.106240,-0.790720,-0.136523)
(-0.101562,-0.742188,-0.148438);(-0.106240,-0.790720,-0.136523);(-0.051984,-0.797110,-0.128666)
(0.000000,-0.742188,-0.140625);(-0.051984,-0.797110,-0.128666);(0.000000,-0.796875,-0.187500)
(0.000000,-0.784213,-0.316271);(-0.130492,-0.812825,-0.225592);(-0.072646,-0.747936,-0.297664)
(-0.051984,-0.797110,-0.128666);(-0.106240,-0.790720,-0.136523);(-0.130492,-0.812825,-0.225592)
(0.000000,-0.796875,-0.187500);(-0.051984,-0.797110,-0.128666);(0.000000,-0.828125,-0.203125)
(-0.125000,-0.812500,-0.101562);(-0.101562,-0.742188,-0.148438);(0.000000,-0.742188,-0.140625)
(0.000000,-0.632812,-0.859375);(-0.082067,-0.636002,-0.831653);(0.000000,-0.694009,-0.875324)
(-0.101562,-0.742188,-0.148438);(-0.172976,-0.713969,-0.285087);(-0.125000,-0.750000,-0.226562)
(-0.215819,-0.557337,-0.191112);(-0.172976,-0.713969,-0.285087);(-0.125000,-0.812500,-0.101562)
(-0.093750,-0.664062,-0.750000);(-0.101129,-0.733665,-0.734649);(-0.094709,-0.711497,-0.834005)
(0.000000,-0.694009,-0.875324);(-0.082067,-0.636002,-0.831653);(-0.094709,-0.711497,-0.834005)
(-0.093750,-0.664062,-0.750000);(0.000000,-0.656250,-0.781250);(0.000000,-0.730059,-0.769970)
(-0.082067,-0.636002,-0.831653);(0.000000,-0.632812,-0.859375);(0.000000,-0.656250,-0.781250)
(-0.192666,-0.782883,0.355801);(-0.188102,-0.774922,0.145992);(-0.127234,-0.757193,0.212729)
(-0.375000,-0.742188,0.062500);(-0.400341,-0.693188,0.010355);(-0.203125,-0.742188,0.093750)
(-0.476562,-0.718750,0.101562);(-0.578125,-0.679688,0.195312);(-0.694668,-0.603263,0.158584)
(-0.578125,-0.679688,0.195312);(-0.579374,-0.691487,0.338891);(-0.590717,-0.676971,0.371717)
(-0.590717,-0.676971,0.371717);(-0.579374,-0.691487,0.338891);(-0.411560,-0.752042,0.390627)
(-0.192666,-0.782883,0.355801);(-0.143020,-0.775159,0.349482);(-0.301068,-0.747120,0.492694)
(-0.578125,-0.679688,0.195312);(-0.546875,-0.671875,0.210938);(-0.554688,-0.671875,0.281250)
(-0.192666,-0.782883,0.355801);(-0.281250,-0.765625,0.398438);(-0.234375,-0.757812,0.359375)
(-0.323755,-0.762084,0.434255);(-0.411560,-0.752042,0.390627);(-0.335938,-0.750000,0.406250)
(-0.546875,-0.671875,0.210938);(-0.578125,-0.679688,0.195312);(-0.476562,-0.718750,0.101562)
(-0.375000,-0.726562,0.085938);(-0.460938,-0.703125,0.117188);(-0.476562,-0.718750,0.101562)
(-0.195312,-0.757812,0.296875);(-0.199861,-0.747545,0.172703);(-0.188102,-0.774922,0.145992)
(-0.375000,-0.742188,0.062500);(-0.242188,-0.757812,0.125000);(-0.375000,-0.726562,0.085938)
(-0.109375,-0.609375,0.460938);(-0.062500,-0.750000,0.492188);(0.000000,-0.742188,0.429688)
(-0.195312,-0.617188,0.664062);(-0.156250,-0.757812,0.718750);(-0.062500,-0.750000,0.492188)
(-0.195312,-0.617188,0.664062);(-0.335938,-0.593750,0.687500);(-0.320312,-0.734375,0.757812)
(-0.335938,-0.593750,0.687500);(-0.484375,-0.554688,0.554688);(-0.492188,-0.687500,0.601562)
(-0.755414,-0.408855,0.407941);(-0.773438,-0.375000,0.164062);(-0.828125,-0.445312,0.148438)
(-0.601562,-0.414062,0.000000);(-0.632812,-0.539062,-0.039062);(-0.828125,-0.445312,0.148438)
(-0.437500,-0.468750,-0.093750);(-0.437500,-0.531250,-0.140625);(-0.632812,-0.539062,-0.039062)
(-0.164062,-0.437500,-0.945312);(-0.140625,-0.367188,-0.757812);(0.000000,-0.343750,-0.804688)
(0.000000,-0.276405,-0.480292);(0.000000,-0.330370,-0.562874);(-0.174476,-0.262033,-0.414907)
(-0.164062,-0.437500,-0.945312);(0.000000,-0.460938,-0.976562);(0.000000,-0.594383,-0.981004)
(-0.368714,-0.542263,-0.876306);(-0.323183,-0.398961,-0.913429);(-0.322643,-0.532488,-0.949460)
(-0.174476,-0.262033,-0.414907);(0.000000,-0.330370,-0.562874);(-0.250000,-0.390625,-0.500000)
(-0.323183,-0.398961,-0.913429);(-0.140625,-0.367188,-0.757812);(-0.164062,-0.437500,-0.945312)
(-0.215819,-0.557337,-0.191112);(-0.218750,-0.429688,-0.281250);(-0.234375,-0.406250,-0.351562)
(-0.218750,-0.429688,-0.281250);(-0.215819,-0.557337,-0.191112);(-0.202354,-0.502753,-0.171444)
(-0.437500,-0.531250,-0.140625);(-0.437500,-0.468750,-0.093750);(-0.202354,-0.502753,-0.171444)
(0.000000,0.828125,0.070312);(0.000000,0.671875,-0.195312);(-0.343750,0.539062,-0.148438)
(0.000000,0.351562,-0.382812);(-0.296875,0.265625,-0.312500);(-0.343750,0.539062,-0.148438)
(-0.174476,-0.262033,-0.414907);(-0.296875,0.265625,-0.312500);(0.000000,0.351562,-0.382812)
(-0.734375,-0.070312,-0.046875);(-0.601562,-0.414062,0.000000);(-0.773438,-0.375000,0.164062)
(0.000000,0.828125,0.070312);(-0.461503,0.575505,0.027541);(-0.460938,0.703125,0.437500)
(0.000000,0.078125,0.984375);(-0.453125,0.070312,0.929688);(-0.453125,-0.234375,0.851562)
(-0.453125,0.382812,0.867188);(-0.453125,0.070312,0.929688);(0.000000,0.078125,0.984375)
(-0.460938,0.703125,0.437500);(-0.453125,0.382812,0.867188);(0.000000,0.546875,0.898438)
(-0.796875,-0.125000,0.562500);(-0.726562,-0.335938,0.406250);(-0.632812,-0.281250,0.453125)
(-0.796875,0.359375,0.539062);(-0.640625,0.445312,0.679688);(-0.617188,0.585938,0.328125)
(-0.640625,-0.054688,0.703125);(-0.787148,0.149983,0.623497);(-0.796875,-0.125000,0.562500)
(-0.640625,0.445312,0.679688);(-0.453125,0.382812,0.867188);(-0.460938,0.703125,0.437500)
(-0.787148,0.149983,0.623497);(-0.453125,0.070312,0.929688);(-0.453125,0.382812,0.867188)
(-0.640625,-0.054688,0.703125);(-0.453125,-0.234375,0.851562);(-0.453125,0.070312,0.929688)
(-0.632812,-0.281250,0.453125);(-0.460938,-0.429688,0.523438);(-0.453125,-0.234375,0.851562)
(-0.460938,-0.429688,0.523438);(-0.632812,-0.281250,0.453125);(-0.755414,-0.408855,0.407941)
(0.000000,-0.289062,0.898438);(-0.453125,-0.234375,0.851562);(-0.460938,-0.429688,0.523438)
(-0.484375,-0.554688,0.554688);(-0.335938,-0.593750,0.687500);(-0.195312,-0.617188,0.664062)
(-0.460938,-0.429688,0.523438);(-0.484375,-0.554688,0.554688);(-0.109375,-0.609375,0.460938)
(-0.726562,-0.335938,0.406250);(-0.851562,-0.054688,0.234375);(-0.773438,-0.375000,0.164062)
(-0.796875,-0.125000,0.562500);(-0.859375,0.046875,0.320312);(-0.851562,-0.054688,0.234375)
(-0.787148,0.149983,0.623497);(-0.820312,0.203125,0.328125);(-0.859375,0.046875,0.320312)
(-0.820312,0.203125,0.328125);(-0.787148,0.149983,0.623497);(-0.796875,0.359375,0.539062)
(-0.406250,-0.148438,-0.171875);(-0.429688,0.210938,-0.195312);(-0.296875,0.265625,-0.312500)
(-0.593750,0.164062,-0.125000);(-0.429688,0.210938,-0.195312);(-0.406250,-0.148438,-0.171875)
(-0.406250,-0.148438,-0.171875);(-0.437500,-0.468750,-0.093750);(-0.601562,-0.414062,0.000000)
(-0.218750,-0.429688,-0.281250);(-0.202354,-0.502753,-0.171444);(-0.437500,-0.468750,-0.093750)
(-0.617188,0.585938,0.328125);(-0.461503,0.575505,0.027541);(-0.640625,0.429688,-0.007812)
(-0.640625,0.429688,-0.007812);(-0.461503,0.575505,0.027541);(-0.429688,0.210938,-0.195312)
(-0.429688,0.210938,-0.195312);(-0.461503,0.575505,0.027541);(-0.343750,0.539062,-0.148438)
(-1.187500,0.390625,0.437500);(-0.937324,0.232705,0.378745);(-1.023438,0.312500,0.476562)
(-1.351562,0.421875,0.320312);(-1.265625,0.406250,0.289062);(-1.187500,0.390625,0.437500)
(-1.281250,0.429688,0.054688);(-1.210938,0.406250,0.078125);(-1.265625,0.406250,0.289062)
(-1.039062,0.328125,-0.101562);(-1.031250,0.304688,-0.039062);(-1.210938,0.406250,0.078125)
(-0.828125,0.132812,-0.070312);(-1.031250,0.304688,-0.039062);(-1.039062,0.328125,-0.101562)
(-0.893377,0.262959,-0.011512);(-1.034042,0.402129,0.005740);(-1.031250,0.304688,-0.039062)
(-1.034042,0.402129,0.005740);(-1.192819,0.462091,0.095986);(-1.210938,0.406250,0.078125)
(-1.210938,0.406250,0.078125);(-1.192819,0.462091,0.095986);(-1.233137,0.455662,0.248091)
(-1.265625,0.406250,0.289062);(-1.233137,0.455662,0.248091);(-1.170774,0.460286,0.345162)
(-1.187500,0.390625,0.437500);(-1.170774,0.460286,0.345162);(-1.009372,0.382237,0.319332)
(-0.705371,0.168312,-0.026559);(-0.828125,0.132812,-0.070312);(-0.773438,0.125000,-0.140625)
(-1.020655,0.373543,0.166220);(-1.101664,0.388517,0.234511);(-1.192819,0.462091,0.095986)
(-0.937324,0.232705,0.378745);(-0.819486,0.207733,0.243654);(-0.820312,0.203125,0.328125)
(-0.840718,0.310407,-0.000323);(-0.893377,0.262959,-0.011512);(-0.828125,0.132812,-0.070312)
(-0.840718,0.310407,-0.000323);(-0.705371,0.168312,-0.026559);(-0.718750,0.187500,0.039062)
(-0.843750,0.273438,0.015625);(-0.718750,0.187500,0.039062);(-0.765028,0.271794,0.094065)
(-0.819486,0.207733,0.243654);(-0.765028,0.271794,0.094065);(-0.718750,0.187500,0.039062)
(-0.819486,0.207733,0.243654);(-0.919003,0.275109,0.278017);(-0.765028,0.271794,0.094065)
(-0.919003,0.275109,0.278017);(-0.931794,0.333012,0.278490);(-0.772395,0.309668,0.095367)
(-0.931794,0.333012,0.278490);(-1.020655,0.373543,0.166220);(-0.942938,0.337518,0.065811)
(-0.843750,0.273438,0.015625);(-0.828115,0.316130,0.081631);(-0.840718,0.310407,-0.000323)
(-1.009372,0.382237,0.319332);(-0.931794,0.333012,0.278490);(-0.919003,0.275109,0.278017)
(-1.020655,0.373543,0.166220);(-0.931794,0.333012,0.278490);(-1.009372,0.382237,0.319332)
(-0.828115,0.316130,0.081631);(-0.772395,0.309668,0.095367);(-0.942938,0.337518,0.065811)
(-0.893377,0.262959,-0.011512);(-0.840718,0.310407,-0.000323);(-0.942938,0.337518,0.065811)
(-1.034042,0.402129,0.005740);(-0.942938,0.337518,0.065811);(-1.020655,0.373543,0.166220)
(-0.789062,0.328125,-0.125000);(-0.773438,0.125000,-0.140625);(-1.039062,0.328125,-0.101562)
(-1.039062,0.492188,-0.085938);(-1.039062,0.328125,-0.101562);(-1.281250,0.429688,0.054688)
(-1.367188,0.500000,0.296875);(-1.312500,0.531250,0.054688);(-1.281250,0.429688,0.054688)
